Timestamp,Número de control,¿El volumen te pareció adecuado?,¿El tono | ritmo de la voz te pareció adecuado?,¿Crees necesario incluir música de fondo en el vídeo?,¿El uso de colores en la explicación te pareció adecuado?,"¿Con cuáles colores te sientes más cómodo, para las explicaciones en los vídeos?",¿Con cuál forma de escritura te sientes más cómodo para el desarrollo de ejercicios en los vídeos?,¿El tamaño de letra te parece adecuado?,¿Te ayuda tener la imagen del profesor o profesora mientras explica?,¿Cuál es la razón?,"
¿Cómo prefieres que sea el fondo de los vídeos?",¿Crees necesario incluir animaciones en los vídeos?,¿La resolución del vídeo te permitió ver con comodidad todos los pasos de los ejercicios?,¿La duración del vídeo te parece adecuada?,¿Utilizas las marcas de tiempo para navegar por el vídeo? (Cuando están disponibles),Escribe dos palabras para describir qué te pareció la explicación del vídeo,Escribe dos palabras para describir qué te parecieron las herramientas de comprobación de resultados en el vídeo,Escribe dos palabras para describir qué te pareció la dificultad de los ejemplos del vídeo,Escribe dos palabras para describir qué te pareció el uso de diagramas y gráficas del vídeo,Escribe dos palabras para describir qué te pareció el uso de  vídeos adicionales para explicar conocimientos necesarios para el desarrollo del ejercicio en el vídeo,Escribe dos palabras para describir qué te pareció el uso de software y calculadora del vídeo,¿Cuál fue el vídeo de la unidad que más te gustó?,Escribe tres palabras para describir porqué te gustó el vídeo,Si quieres agregar algún comentario adicional lo puedes hacer aquí:
11/2/2022 10:43:16,211050296,Sí,Sí,No,Sí,Azul y rojo ,Editor de ecuaciones,Sí,Sí,Para guiarme ,Claro,Sí,Sí,Sí,Sí,Buena ,Muy buena ,Me pareció buena ,Me pareció buena ,Buena ,Buena ,"""Derivadas de Funciones Vectoriales""   https://youtu.be/JypubYJH6YM",Porque se me hace bien el procedimiento ,
11/2/2022 11:12:58,211050186,Sí,Sí,No,Sí,Con cualquiera exepto fosforescente ,Editor de ecuaciones,Sí,No,Solo requiero ver el ejercicio ,Claro,No,Sí,Sí,Sí,Muy buena ,Exelente ,Entendido ,De gran apoyo ,Útil ,De apoyo ,"""Longitud de Arco de Funciones Vectoriales""   https://youtu.be/Yd69XtOHqH8",Está bien explicado ,
11/2/2022 12:01:31,211050298,Sí,Sí,No,Sí,De cualquier tipo de color ,Editor de ecuaciones,Sí,No,Me puedo distraer con las cosas que lo rodean,Claro,Sí,Sí,Sí,No,"Concreto, buen ritmo","Excelente, facil","Un poco largo, muchos pasos","Mejor interpretación, más entendimiento ","Buen apoyo, resolver dudas","Excelente, fácil ","""Integración con Funciones Vectoriales""   https://youtu.be/ubqDZYlsSKs","Es más concreto, corto, entendible ",Excelente trabajo de mi docente
11/2/2022 13:52:37,211050156,Sí,Sí,No,Sí,,Editor de ecuaciones,Sí,No,No sirve de nada verlo ahí ,Obscuro,Sí,Sí,Sí,Sí,Muy bien ,Muy buenas ,Regulares ejemplos ,Muy buenas ,Necesarios videos ,Muy gráficos ,"""Longitud de Arco de Funciones Vectoriales""   https://youtu.be/Yd69XtOHqH8",Muy buena explicación ,
11/2/2022 18:16:28,211050172,Sí,Sí,Sí,Sí,Pues el color blanco es perfecto de fondo en los videos,Escritura,Sí,No,Prefiero ver más ecuaciones echas con escritura para poder concentrarme mejor,Claro,Sí,Sí,Sí,Sí,Muy buena,Muy interesantes,,,,,"""¿Qué son las funciones vectoriales?""    https://youtu.be/COxUVyOuoRE",,
11/2/2022 19:18:17,211050163,Sí,Sí,No,Sí,"Negro, Azul para ser más claros y no dañar la vista.",Editor de ecuaciones,Sí,No,Son claros los videos aunque no aparezca el maestro.,Claro,No,Sí,Sí,Sí,Práctico y dinámico,"Fáciles, entendibles","Buenos, prácticos",Entendible y llamativo,Excelente y dinámico,Práctico y llamativo,"""¿Qué son las funciones vectoriales?""    https://youtu.be/COxUVyOuoRE","Práctico, llamativo y dinámico",Son excleentes los vídeos tienen excelentes contenidos y son muy buenos para comprender el tema de una manera muy dinámica y práctica.
11/2/2022 20:24:34,211050160,Sí,Sí,Sí,Sí,Cualquiera pero que sea intenso o llamativo ,Editor de ecuaciones,Sí,No,Me es indiferente ,Claro,Sí,Sí,Sí,Sí,"Clara, precisa ","Adecuadas, útiles ","Moderada, justa ","Precisó, adecuado ","Útiles, adecuados ","Útiles, necesarios","""¿Qué son las funciones vectoriales?""    https://youtu.be/COxUVyOuoRE","Claro, breve, preciso ",
11/2/2022 22:18:47,211050291,Sí,Sí,No,Sí,Todos los colores me parecen bien,Editor de ecuaciones,Sí,No,"No hay razón, entiendo de la misma manera ",Claro,No,Sí,Sí,Sí,Buena y relajado ,Eficaz y rapidez ,Entendible y entretenido ,Creativos y entendibles,Entender mejor ,Genial y divertido ,"""Límites de las Funciones Vectoriales""   https://youtu.be/QmnDvWlsoLk","Entendible, coherente y colorido ",
11/2/2022 23:44:28,211050285,Sí,Sí,Sí,Sí,"Azul, verde, rojo y amarillo ",Editor de ecuaciones,Sí,No,Creó que es más necesario ver el puro procedimiento ,Claro,Sí,Sí,Sí,Sí,Fantastica y adecuada ,Útiles y fáciles ,Sencillos y comprensibles ,Refuerzo y comprensión ,Roforzamiento y útiles ,Adecuado y útil ,"""Límites de las Funciones Vectoriales""   https://youtu.be/QmnDvWlsoLk",Fue muy práctico y visual ,
11/3/2022 0:28:10,211050168,Sí,Sí,No,Sí,Negro y rojo ,Editor de ecuaciones,Sí,Sí,Se entiende más ,Claro,No,No,Sí,Sí,Interesante y comodo,Entendibles y claras ,Desafiantes y congruentes,Ideal y correcto ,Opcional y necesario ,Bueno y claro ,"""Integración con Funciones Vectoriales""   https://youtu.be/ubqDZYlsSKs","Claro
Interesante
Entretenido ",
11/3/2022 8:38:01,211050153,Sí,Sí,No,Sí,Azul y rojo,Editor de ecuaciones,Sí,No,Me gusta ver las ecuaciones completas en una sola línea si se puede,Claro,Sí,Sí,Sí,Sí,Clave y precisa ,Claras y precisas,Media y justa ,Útil y adecuado ,Claro y preciso,Útil y necesario ,"""Derivadas de Funciones Vectoriales""   https://youtu.be/JypubYJH6YM","Explicativo,claro y util",
11/3/2022 8:41:59,211050166,Sí,Sí,Sí,Sí,Colores vivos y resaltables,Editor de ecuaciones,Sí,No,Está en la percepción de cada quien ,Claro,No,Sí,No,Sí,Sumamente claro,Objetivas y precisas ,Fáciles y comprensibles,Eficaz y representativo,Apoyo necesario ,Útil y seguro ,"""Derivadas de Funciones Vectoriales""   https://youtu.be/JypubYJH6YM","Sencillo, bien explicado y determinante",
11/3/2022 16:58:42,211050286,Sí,Sí,No,Sí,"Negro, rojo",Presentación,Sí,Sí,Me entusiasma más el poner atención ,Claro,No,Sí,Sí,No,Eficaz y sencilla,Entendibles y cómodas ,Fáciles y realizables ,Llamativos y necesarios ,Útiles y entendibles ,Práctico y necesario ,"""¿Qué son las funciones vectoriales?""    https://youtu.be/COxUVyOuoRE","Entendible, dinámico y entretenido ",
11/4/2022 17:33:41,211050184,Sí,Sí,Sí,Sí,Negro,Editor de ecuaciones,Sí,No,No lo veo necesario,Claro,Sí,Sí,Sí,Sí,Muy bien ,Demasiado interesante,Estan fáciles ,De maravilla ,Muy útiles ,Recomendable utilizarlas ,"""¿Qué son las funciones vectoriales?""    https://youtu.be/COxUVyOuoRE",Por alto aprendizaje ,El video me pareció perfecto!!
11/4/2022 18:36:27,211050288,Sí,Sí,No,Sí,Azul,Editor de ecuaciones,Sí,No,,Claro,No,Sí,Sí,No,"Asertivo, Excelente ","Excelente, Adecuadas","Es algo complejo, interesante ","Más fácil de comprender, es util","Exacto, eficaz ","Útil, Adecuado ","""Derivadas de Funciones Vectoriales""   https://youtu.be/JypubYJH6YM",Comprendo más ese tema,
11/7/2022 16:50:54,211050297,Sí,Sí,No,Sí,,Editor de ecuaciones,Sí,Sí,Explica muy bien y todo es muy claro,Obscuro,Sí,Sí,Sí,Sí,La explicación y la información an Sido de ayuda a lo que e batallado ,Bien ,Pues cuestión de práctica ,Bien ,Bien ,Bien ,"""Derivadas de Funciones Vectoriales""   https://youtu.be/JypubYJH6YM",Bien ,Ninguno
11/11/2022 20:09:18,211050294,Sí,Sí,No,Sí,"Rojo, Verde y Azul ",Editor de ecuaciones,Sí,Sí,Es mas entendible,Obscuro,No,Sí,Sí,Sí,Muy Adecuado,Extremadamente Util,No mucha,,Es Entendible,Muy Aceptable,"""¿Qué son las funciones vectoriales?""    https://youtu.be/COxUVyOuoRE",Es muy entendible,Los videos son muy utiles para circuntancias dificiles
11/12/2022 11:19:48,211050182,Sí,Sí,No,Sí,"Colores más claros y fuertes, cómo amarillo y rojo",Editor de ecuaciones,Sí,No,"Porque la voz es muy clara y precisa, las imagenes y explicaciones son muy claras y precisas, no veo necesaria la imagen del profe",Claro,Sí,Sí,No,Sí,Muy buena,Muy buenas,Algo largos,Bien explicadas,Buena idea,Muy buena ,"""Derivadas de Funciones Vectoriales""   https://youtu.be/JypubYJH6YM",Muy bien explicado ,
11/12/2022 12:55:00,211050186,Sí,Sí,Sí,Sí,Colores arcoiris ,Editor de ecuaciones,Sí,No,No me es importante ,Claro,No,Sí,Sí,Sí,Muy bien ,De ayuda ,Considerablemente bien ,Indispensable mente ,Innecesario y tedioso ,De utilidad ,"""Derivadas de Funciones Vectoriales""   https://youtu.be/JypubYJH6YM",Muy bien explicado ,
11/12/2022 13:26:16,211050308,Sí,Sí,No,Sí,Rojo ,Editor de ecuaciones,Sí,Sí,,Claro,Sí,Sí,Sí,Sí,,,,,,,"""Límites de las Funciones Vectoriales""   https://youtu.be/QmnDvWlsoLk","Comprensible, ordenado y bien ",
11/12/2022 14:38:41,211050172,Sí,Sí,Sí,Sí,El Azul y Verde,Editor de ecuaciones,Sí,No,Me siento más cómodo viendo presentaciones pienso que así entiendo mejor,Claro,No,Sí,Sí,Sí,Muy buena,Fue bueno,Algo confusas,Muy bueno,,Ayuda mucho,"""¿Qué son las funciones vectoriales?""    https://youtu.be/COxUVyOuoRE",Fue muy detallado,
11/14/2022 11:43:07,211050162,Sí,Sí,No,Sí,Rojo azul y negro ,Editor de ecuaciones,Sí,No,Quita el espacio de explicación,Claro,No,Sí,Sí,Sí,Muy buena ,Muy buena ,Estan bien ,Muy aceptables ,Muy buena,Buena forma,"""¿Qué son las funciones vectoriales?""    https://youtu.be/COxUVyOuoRE",Muy bonito la forma de explicar ,Ninguno 
11/20/2022 16:49:28,211050308,Sí,Sí,Sí,Sí,Rojo,Editor de ecuaciones,Sí,Sí,,Claro,Sí,Sí,Sí,Sí,Complejo y ordenado ,Perfecto ,,,,,"""Integración con Funciones Vectoriales""   https://youtu.be/ubqDZYlsSKs",Por qué esta muy bien explicado ,
11/20/2022 17:29:16,211050187,Sí,Sí,No,Sí,Verde,Editor de ecuaciones,Sí,No,Me sentro mas en lo que estamos haciendo y con la imagen del profe es mas chico la imagen del trabajo ,Obscuro,Sí,Sí,Sí,Sí,Muy buena ,Muy bien ,Dificultad normal ,Muy buena ,Algo exagerado pero bien ,Muy bueno ,"""¿Qué son las funciones vectoriales?""    https://youtu.be/COxUVyOuoRE",De mi agrado ,
11/20/2022 18:04:06,21,Sí,Sí,No,Sí,"Rojo, azul, negro y amarillo para recalcar cosas importantes ",Editor de ecuaciones,Sí,No,Me parece una distracción ,Claro,Sí,Sí,Sí,Sí,Excelente explicación ,Muy útiles ,Sencillos si entiendes ,Mejora explicacion,Sencillos de aprender ,Facilita trabajo ,"""¿Qué son las funciones vectoriales?""    https://youtu.be/COxUVyOuoRE",Aprendí nuevas cosas,
11/23/2022 12:23:43,211050297,Sí,Sí,Sí,Sí,Todos ,Editor de ecuaciones,Sí,Sí,Es claro ,Claro,Sí,Sí,Sí,Sí,Todo bien,Todo bien,Todo bien,Todo bien,Todo bien,Todo bien,"""¿Qué son las funciones vectoriales?""    https://youtu.be/COxUVyOuoRE",Por qué habla muy claro y es muy entendible ,Ninguna 
12/6/2022 7:11:38,211050186,Sí,Sí,No,Sí,Colores pastel ,Editor de ecuaciones,Sí,No,No me es necesario ,Claro,No,Sí,Sí,No,Buen video ,De utilidad ,De acuerdo ,Necesario y bueno ,Muy bien ,Fácil de usar,"""¿Qué son las funciones vectoriales?""    https://youtu.be/COxUVyOuoRE",Me parecio muy bueno ,
12/6/2022 12:38:10,211050190,Sí,Sí,Sí,Sí,"Negro, azul y rojo",Presentación,Sí,No,Me desconcentra ,Claro,Sí,Sí,Sí,Sí,Excelente explicación ,Muy útiles ,Entendibles y buenos,Buena herramienta ,Muy buenos,Me gusto,"""Límites de las Funciones Vectoriales""   https://youtu.be/QmnDvWlsoLk",Simple de entender ,
12/6/2022 13:15:30,211050167,Sí,Sí,No,Sí,"Colores como negro, azul para las explicaciones y colores llamativos cómo rojo,verde y naranja para curiosidades me resultan muy cómodo y fácil de de comprender",Editor de ecuaciones,Sí,Sí,Me da mejor entendimiento a la hora de visualizar su lenguaje corporal ya que así entiendo el modo al que se refiere en ciertos temas o ejemplos,Claro,Sí,Sí,Sí,Sí,Práctica y entendible,Llamativas y eficientes,Tranquila y entendible,Completo y práctico ,Útil y completo,Novedoso y llamativo,"""Derivadas de Funciones Vectoriales""   https://youtu.be/JypubYJH6YM","Interesante, práctico y completo",Me gusta mucho la forma en la que se explican los temas y los ejemplos que se dan de los mismos. Hacen los temas más ligeros e interesantes de comprender 
12/6/2022 13:44:52,211050307,Sí,Sí,Sí,Sí,Colores claros ,Presentación,Sí,Sí,Me siento más cómodo ,Claro,Sí,Sí,Sí,No,Buen audio ,Complicadas ,Bien explicados ,"Complicado, necesario ",Excelente ,Adecuado ,"""¿Qué son las funciones vectoriales?""    https://youtu.be/COxUVyOuoRE",Entendí el tema ,
12/6/2022 19:39:35,211050305,Sí,Sí,Sí,Sí,Colores fuertes y llamativos,Editor de ecuaciones,Sí,Sí,Me guío mejor,Claro,Sí,Sí,Sí,Sí,"Adecuada, concreta","Efectivas, entendibles","Confuso, complejo ","Efectivo, entendible","Muy bueno, útil ","Útil, entendible","""¿Qué son las funciones vectoriales?""    https://youtu.be/COxUVyOuoRE",La explicación es muy clara y concreta ,
12/6/2022 21:16:22,211050296,Sí,Sí,Sí,Sí,,Editor de ecuaciones,Sí,Sí,,Claro,Sí,Sí,Sí,Sí,Muy buena ,Muy buena ,Me pareció más o menos,Muy buena ,Muy buena ,Muy buena ,"""¿Qué son las funciones vectoriales?""    https://youtu.be/COxUVyOuoRE",Porque se entiende bien ,
12/7/2022 10:00:12,221050116,Sí,Sí,No,Sí,Blanco ,Editor de ecuaciones,Sí,No,Me siento incómoda ,Claro,Sí,Sí,Sí,Sí,Muy buena ,Muy buena ,Muy buena ,Muy buena ,Muy buena ,Muy buena ,"""¿Qué son las funciones vectoriales?""    https://youtu.be/COxUVyOuoRE",Mes gira la explicación ,Muy buena maestra 
12/7/2022 18:37:55,211050291,Sí,Sí,No,Sí,"Colores fuertes, ejemplo rojo, azul, verde",Editor de ecuaciones,Sí,No,Me es igual si está el profe o no,Claro,No,Sí,Sí,Sí,Educativo y entretenido ,Flexibles y comodas ,Complicado entretenido ,Fácil rápido ,Refuerzo entendible ,Cómodo facil,"""Integración con Funciones Vectoriales""   https://youtu.be/ubqDZYlsSKs","Entendible, coherente, facil",
12/8/2022 17:49:13,211050308,Sí,Sí,No,Sí,,Editor de ecuaciones,Sí,Sí,,Claro,Sí,Sí,Sí,Sí,,,,,,,,,